Name; Künstler; Komponist; Album; Gruppierung; Werk; Nummer für Satz; Satzzähler; Name für Satz; Genre; Größe; Dauer; Disc-Nummer; Anzahl der Discs; Titelnummer; Anzahl der Titel; Jahr; Geändert; Hinzugefügt; Datenrate; Abtastrate; Lautstärkeanpassung; Art; Equalizer; Kommentar; Wiedergaben; Zuletzt gespielt; Übersprungen; Zuletzt übersprungen; Meine Wertung; Ort;;;;
Nothing Shakin' (But The Leaves On The Tree); Eddie Fontaine; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;31541223;178;2;6;6;27;2016; 02.01.18;  13:07; 02.01.18;  12:49;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-06 Nothing Shakin' (But The Leaves On The Tree).aif
Be Bop Battlin' Ball; Eddie Gaines; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;23335069;131;2;6;2;27;2016; 02.01.18;  13:07; 02.01.18;  12:47;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-02 Be Bop Battlin' Ball.aif
Eager Lips; Gary Huckaby; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;21025398;118;2;6;11;27;2016; 02.01.18;  13:07; 02.01.18;  12:51;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-11 Eager Lips.aif
Lovin' Baby; Howard Perkins; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;25936377;146;2;6;17;27;2016; 02.01.18;  13:07; 02.01.18;  12:53;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-17 Lovin' Baby.aif
Jet Tone Boogie; The Jet-Tones; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;28939884;163;2;6;24;27;2016; 02.01.18;  13:07; 02.01.18;  12:55;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-24 Jet Tone Boogie.aif
Love Me; Jimmy Lee & Wayne Walker; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;20943087;118;2;6;16;27;2016; 02.01.18;  13:07; 02.01.18;  12:53;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-16 Love Me.aif
Carmen Sue Rock; Lee Red Melson; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;24932077;140;2;6;26;27;2016; 02.01.18;  13:07; 02.01.18;  12:56;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-26 Carmen Sue Rock.aif
Confusion; The McBrides; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;18932117;106;2;6;15;27;2016; 02.01.18;  13:07; 02.01.18;  12:53;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-15 Confusion.aif
Rockin' Beat; Neighbours; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;22088502;124;2;6;13;27;2016; 02.01.18;  13:07; 02.01.18;  12:52;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-13 Rockin' Beat.aif
I Need It; Ray McCoy; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;21063023;118;2;6;5;27;2016; 02.01.18;  13:07; 02.01.18;  12:49;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-05 I Need It.aif
Boppin' Wigwam Willie; Ray Scott; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;24386411;137;2;6;1;27;2016; 02.01.18;  13:07; 02.01.18;  12:47;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-01 Boppin' Wigwam Willie.aif
Oh Yeah; Tommy Denton And The Echoes; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;22881138;129;2;6;18;27;2016; 02.01.18;  13:07; 02.01.18;  12:53;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-18 Oh Yeah.aif
Shoppin' Around; Wayne Red Cobb; ; Big Box Of Rockabilly;  Vol. 2; ; ; ; ; ; Rock;22772941;128;2;6;22;27;2016; 02.01.18;  13:07; 02.01.18;  12:55;1411;44100; ; AIFF-Audiodatei; ; ; ; ; ; ; ; Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Big Box Of Rockabilly;  Vol. 2:2-22 Shoppin' Around.aif
