Name	Künstler	Komponist	Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	Hinzugefügt	Datenrate	Abtastrate	Lautstärkeanpassung	Art	Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort,,
Jazz Master (K&D Session)	Alex Reece	Alex Reece	The K&D Sessions [Disc 1]						Electronica	88469269	500	1	2	2	10	1998	01.04.18,09:16	01.04.18,09:10	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 1]:1-02 Jazz Master (K&D Session).aif
Rollin' On Chrome (Wild Motherfucker Dub)	Aphrodelics	Aphrodelics	The K&D Sessions [Disc 1]						Electronica	60127687	339	1	2	6	10	1998	01.04.18,09:16	01.04.18,09:12	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 1]:1-06 Rollin' On Chrome (Wild Motherfucker Dub).aif
Bug Powder Dust (Kruder & Dorfmeister Session)	Bomb The Bass Feat. Justin Warfield	Tim Simenon ftr. Justin Wharfield	The K&D Sessions [Disc 1]						Electronica	77948842	440	1	2	5	10	1998	01.04.18,09:16	01.04.18,09:12	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 1]:1-05 Bug Powder Dust (Kruder & Dorfmeister Session).aif
Speechless (Drum 'N' Bass)	Count Basic	Count Basic	The K&D Sessions [Disc 1]						Electronica	70314184	397	1	2	3	10	1998	01.04.18,09:16	01.04.18,09:11	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 1]:1-03 Speechless (Drum 'N' Bass).aif
Gotta Jazz (Richard Dorfmeister Remix)	Count Basic	Count Basic	The K&D Sessions [Disc 1]						Electronica	58827028	332	1	2	8	10	1998	01.04.18,09:16	01.04.18,09:13	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 1]:1-08 Gotta Jazz (Richard Dorfmeister Remix).aif
Useless (K&D Session)	Depeche Mode	Depeche Mode	The K&D Sessions [Disc 1]						Electronica	66101749	373	1	2	7	10	1998	01.04.18,09:16	01.04.18,09:13	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 1]:1-07 Useless (K&D Session).aif
Trans Fatty Acid (K&D Session)	Lamb	Lamb	The K&D Sessions [Disc 1]						Electronica	90487281	511	1	2	10	10	1998	01.04.18,09:16	01.04.18,09:14	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 1]:1-10 Trans Fatty Acid (K&D Session).aif
Going Under (Main Version) (K&D Session)	Rockers Hi-Fi	Rockers Hifi	The K&D Sessions [Disc 1]						Electronica	91578633	517	1	2	4	10	1998	01.04.18,09:16	01.04.18,09:11	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 1]:1-04 Going Under (Main Version) (K&D Session).aif
Heroes (Kruder's Long Loose Bossa)	Roni Size	Roni Size	The K&D Sessions [Disc 1]						Electronica	69161708	390	1	2	1	10	1998	01.04.18,09:16	01.04.18,09:10	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 1]:1-01 Heroes (Kruder's Long Loose Bossa).aif
Donauschingen (Peter Kruders Donaudampfschifffahrtsgesellschaftskapitänskajütenremix)	Trüby Trio	Rainer Trüby Trio	The K&D Sessions [Disc 1]						Electronica	73430769	415	1	2	9	10	1998	01.04.18,09:16	01.04.18,09:14	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:The K&D Sessions [Disc 1]:1-09 Donauschingen (Peter Kruders Donaudampfschifffahrtsgesellschaftskapitänskajütenremix).aif
